id,name,lat,lon,departure,arrival
149,Calumet Ave & 33rd St,41.8349,-87.61793,63.0,63.0
150,Fort Dearborn Dr & 31st St,41.838556,-87.608218,7.0,7.0
152,Lincoln Ave & Diversey Pkwy,41.932225,-87.658617,9.0,3.0
153,Southport Ave & Wellington Ave,41.935733,-87.663576,27.0,30.0
154,Southport Ave & Belmont Ave,41.93949,-87.66378,26.0,22.0
156,Clark St & Wellington Ave,41.93649682,-87.64753866,0.0,0.0
157,Lake Shore Dr & Wellington Ave,41.93668845,-87.63682902,127.0,96.0
158,Milwaukee Ave & Wabansia Ave,41.912616,-87.681391,126.0,93.0
159,Claremont Ave & Hirsch St,41.907781,-87.685854,91.0,76.0
160,Campbell Ave & North Ave,41.910535,-87.689556,66.0,78.0
161,Rush St & Superior St,41.89576475,-87.62590803,61.0,67.0
162,Damen Ave & Wellington Ave,41.93588,-87.67842,72.0,76.0
163,Damen Ave & Clybourn Ave,41.931931,-87.677856,24.0,16.0
164,Franklin St & Lake St,41.885837,-87.6355,12.0,14.0
165,Clark St & Grace St,41.95078,-87.659172,30.0,31.0
166,Ashland Ave & Wrightwood Ave,41.92883,-87.668507,20.0,20.0
167,Damen Ave & Coulter St,41.8492,-87.67564,56.0,47.0
168,Michigan Ave & 14th St,41.864059,-87.623727,0.0,0.0
169,Canal St & Harrison St,41.874255,-87.639573,31.0,37.0
170,Clinton St & 18th St,41.85795,-87.640826,45.0,49.0
171,May St & Cullerton St,41.855136,-87.654127,40.0,34.0
172,Rush St & Cedar St,41.9023087,-87.62769053,0.0,0.0
173,Mies van der Rohe Way & Chicago Ave,41.89691,-87.621743,58.0,57.0
174,Canal St & Madison St,41.882091,-87.639833,80.0,84.0
175,Wells St & Polk St,41.872596,-87.633502,47.0,43.0
176,Clark St & Elm St,41.902973,-87.63128,14.0,17.0
177,Theater on the Lake,41.926277,-87.630834,23.0,20.0
178,State St & 19th St,41.856594,-87.627542,54.0,58.0
179,MLK Jr Dr & Pershing Rd,41.8246,-87.61678,15.0,23.0
180,Ritchie Ct & Banks St,41.906866,-87.626217,15.0,17.0
181,LaSalle St & Illinois St,41.890762,-87.631697,79.0,80.0
182,Wells St & Elm St,41.903222,-87.634324,32.0,32.0
183,Damen Ave & Thomas St (Augusta Blvd),41.901315,-87.677409,25.0,26.0
184,State St & 35th St,41.8309,-87.62803,1.0,0.0
185,Stave St & Armitage Ave,41.917741,-87.691392,30.0,33.0
186,Ogden Ave & Race Ave,41.891795,-87.658751,21.0,21.0
188,Greenview Ave & Fullerton Ave,41.92533,-87.6658,16.0,20.0
190,Southport Ave & Wrightwood Ave,41.928773,-87.663913,13.0,12.0
191,Canal St & Monroe St,41.88169,-87.63953,77.0,80.0
192,Canal St & Adams St,41.879255,-87.639904,93.0,96.0
193,State St & 29th St,41.841707,-87.626938,162.0,148.0
194,Wabash Ave & Wacker Pl,41.886875,-87.62603,37.0,33.0
195,Columbus Dr & Randolph St,41.884728,-87.619521,137.0,136.0
196,Cityfront Plaza Dr & Pioneer Ct,41.890573,-87.622072,214.0,203.0
197,Michigan Ave & Madison St,41.882134,-87.625125,19.0,17.0
198,Green St & Madison St,41.881892,-87.648789,5.0,5.0
199,Wabash Ave & Grand Ave,41.891466,-87.626761,47.0,47.0
200,MLK Jr Dr & 47th St,41.809851,-87.616279,109.0,109.0
201,Indiana Ave & 40th St,41.82168,-87.6216,77.0,72.0
202,Halsted St & 18th St,41.857499,-87.646277,35.0,31.0
203,Western Ave & 21st St,41.854109,-87.685838,21.0,20.0
204,Prairie Ave & Garfield Blvd,41.794853,-87.618691,11.0,10.0
205,Paulina St & 18th St,41.857901,-87.668745,37.0,36.0
206,Halsted St & Archer Ave,41.847203,-87.646795,0.0,0.0
207,Emerald Ave & 28th St,41.84358,-87.645368,35.0,37.0
208,Laflin St & Cullerton St,41.85491458,-87.66355991,0.0,0.0
209,Normal Ave & Archer Ave,41.849527,-87.640591,41.0,35.0
210,Ashland Ave & Division St,41.90345,-87.667747,77.0,68.0
211,St. Clair St & Erie St,41.894448,-87.622663,334.0,257.0
212,Wells St & Hubbard St,41.889906,-87.634266,2.0,1.0
213,Leavitt St & North Ave,41.910153,-87.68229,64.0,63.0
214,Damen Ave & Grand Ave,41.89122,-87.67686,189.0,145.0
215,Damen Ave & Madison St,41.88137,-87.67493,83.0,67.0
216,California Ave & Division St,41.903029,-87.697474,55.0,60.0
217,Elizabeth (May) St & Fulton St,41.88661649,-87.65803993,81.0,93.0
218,Wells St & 19th St,41.856802,-87.633879,129.0,128.0
219,Damen Ave & Cortland St,41.915983,-87.677335,3.0,3.0
220,Clark St & Drummond Pl,41.931248,-87.644336,5.0,4.0
222,Milwaukee Ave & Rockwell St,41.920195,-87.693033,12.0,6.0
223,Clifton Ave & Armitage Ave,41.918216,-87.656936,5.0,9.0
224,Halsted St & Willow St,41.913865,-87.648755,10.0,9.0
225,Halsted St & Dickens Ave,41.919936,-87.64883,13.0,18.0
226,Racine Ave & Belmont Ave,41.939743,-87.658865,7.0,4.0
227,Southport Ave & Waveland Ave,41.94815,-87.66394,11.0,12.0
228,Damen Ave & Melrose Ave,41.9406,-87.6785,10.0,14.0
229,Southport Ave & Roscoe St,41.943739,-87.66402,10.0,7.0
230,Lincoln Ave & Roscoe St,41.94334,-87.67097,104.0,98.0
231,Sheridan Rd & Montrose Ave,41.96167,-87.65464,119.0,133.0
232,Pine Grove Ave & Waveland Ave,41.949275,-87.646303,114.0,116.0
233,Sangamon St & Washington Blvd,41.883165,-87.6511,30.0,33.0
234,Clark St & Montrose Ave,41.961588,-87.666036,30.0,29.0
236,Sedgwick St & Schiller St,41.907626,-87.638566,16.0,16.0
237,MLK Jr Dr & 29th St,41.842052,-87.617,17.0,21.0
238,Wolcott (Ravenswood) Ave & Montrose Ave,41.961406,-87.676169,36.0,37.0
