pick_up_intersection,count
3003.0,35614
3046.0,70
3062.0,80
3097.0,7892
3194.0,12037
3251.0,962
3270.0,929
3323.0,41
3431.0,2230
3499.0,454
3795.0,160
3813.0,38
3957.0,30
4015.0,58
88.0,1599
252.0,16619
323.0,6307
336.0,78686
467.0,22419
572.0,1216
582.0,2373
623.0,49784
624.0,93573
625.0,20691
804.0,26759
886.0,30007
1135.0,106206
1513.0,55238
1529.0,41539
1655.0,183055
1796.0,34563
1849.0,126415
2173.0,78252
2221.0,98937
2934.0,1416
3092.0,1187
3104.0,27742
3169.0,1442
3396.0,142
3405.0,2084
3455.0,2298
3515.0,54
3521.0,167
3555.0,510
3773.0,304
3924.0,155
4059.0,8
125.0,1298
209.0,1543
219.0,23923
242.0,4849
247.0,35179
339.0,14939
674.0,43798
837.0,1508
873.0,166947
927.0,2191
990.0,26960
1162.0,46290
1201.0,40342
1306.0,44790
2105.0,18458
2254.0,67497
2325.0,57139
2395.0,38190
2431.0,812
2616.0,283
2647.0,153
2715.0,60474
2914.0,10297
2931.0,58106
3036.0,13432
3198.0,62417
3247.0,944
3344.0,43
3607.0,619
3618.0,1116
3704.0,382
3785.0,2297
3895.0,98
4050.0,13
30.0,22922
85.0,60986
157.0,47065
218.0,27417
224.0,1035
227.0,48776
551.0,43443
594.0,16940
629.0,17499
681.0,9108
728.0,22067
747.0,7129
812.0,36952
883.0,5097
1128.0,7317
1224.0,418
1378.0,782
1451.0,87558
1490.0,47801
1751.0,37699
1821.0,25342
1951.0,5910
2004.0,580
2049.0,247403
2099.0,2590
2167.0,38535
2260.0,129177
2404.0,104666
2410.0,1792
2423.0,92949
2563.0,2640
2682.0,3842
2727.0,2431
2754.0,63213
2867.0,70381
3280.0,4541
3596.0,97
3713.0,63
3772.0,96
3833.0,33
3854.0,55
117.0,623
155.0,229
162.0,27829
454.0,2458
500.0,28429
783.0,1421
784.0,25649
846.0,5330
908.0,45895
1008.0,99540
1023.0,30832
1066.0,111189
1089.0,102608
1093.0,75804
1107.0,425862
1148.0,46080
1187.0,34963
1202.0,38467
1437.0,7770
1646.0,1881
1657.0,123006
1686.0,14549
1794.0,7137
2013.0,611
2044.0,4620
2127.0,81509
2144.0,9501
2147.0,564
2288.0,36642
2636.0,20956
2766.0,2257
2793.0,289
2853.0,106644
2865.0,95774
2985.0,290
3095.0,51
3139.0,2083
3244.0,31068
3259.0,246
3483.0,26
3628.0,3788
3862.0,4824
3922.0,15
3977.0,398
32.0,25349
122.0,8572
186.0,32174
193.0,60405
338.0,194851
364.0,3226
519.0,28843
608.0,17569
677.0,77791
724.0,13568
772.0,29134
