,pick_up_date,count
265,2011-09-23,415921
266,2011-09-24,443179
267,2011-09-25,366753
268,2011-09-26,375578
269,2011-09-27,409844
270,2011-09-28,414076
271,2011-09-29,407563
272,2011-09-30,438159
273,2011-10-01,441021
274,2011-10-02,357676
275,2011-10-03,380148
276,2011-10-04,406979
277,2011-10-05,425114
278,2011-10-06,438953
279,2011-10-07,441681
280,2011-10-08,431112
281,2011-10-09,369121
282,2011-10-10,336999
283,2011-10-11,399668
284,2011-10-12,431029
285,2011-10-13,444623
286,2011-10-14,453841
287,2011-10-15,460150
288,2011-10-16,382663
289,2011-10-17,379874
290,2011-10-18,414897
291,2011-10-19,419260
292,2011-10-20,434353
293,2011-10-21,457089
294,2011-10-22,452911
295,2011-10-23,375978
296,2011-10-24,385492
297,2011-10-25,417028
298,2011-10-26,428332
299,2011-10-27,437080
300,2011-10-28,453687
301,2011-10-29,492641
302,2011-10-30,386666
303,2011-10-31,379719
304,2011-11-01,430039
305,2011-11-02,421971
306,2011-11-03,442287
307,2011-11-04,463529
308,2011-11-05,471908
309,2011-11-06,348880
310,2011-11-07,380098
311,2011-11-08,415474
312,2011-11-09,431226
313,2011-11-10,437970
314,2011-11-11,440846
315,2011-11-12,437389
316,2011-11-13,362098
317,2011-11-14,379537
318,2011-11-15,411629
319,2011-11-16,415989
320,2011-11-17,442774
321,2011-11-18,452737
322,2011-11-19,457838
323,2011-11-20,367675
324,2011-11-21,383586
325,2011-11-22,391702
326,2011-11-23,394831
327,2011-11-24,260901
328,2011-11-25,313093
329,2011-11-26,352105
330,2011-11-27,314154
331,2011-11-28,349810
332,2011-11-29,396613
333,2011-11-30,413166
334,2011-12-01,434610
335,2011-12-02,461202
336,2011-12-03,470496
337,2011-12-04,381841
338,2011-12-05,387211
339,2011-12-06,406277
340,2011-12-07,422431
341,2011-12-08,436602
342,2011-12-09,458583
343,2011-12-10,473403
344,2011-12-11,391012
345,2011-12-12,396916
346,2011-12-13,429030
347,2011-12-14,423162
348,2011-12-15,446695
349,2011-12-16,470353
350,2011-12-17,467040
351,2011-12-18,411187
352,2011-12-19,396869
353,2011-12-20,415212
354,2011-12-21,420350
355,2011-12-22,408637
356,2011-12-23,389701
357,2011-12-24,304158
358,2011-12-25,183260
359,2011-12-26,233110
360,2011-12-27,314284
361,2011-12-28,342925
362,2011-12-29,381242
363,2011-12-30,383492
364,2011-12-31,391248
